 Short & Long Lengths, ," Style & Co. Curvy-Fit Skinny Jeans, Only at Macy's", Deal of the Day, , select colors, Reg. CAD 67.50, Was CAD 41.31,-67.5, , Sale CAD 23.62,-31.67, ,-631
 , ," Alfani High-Low Top & Wide-Leg Soft Pants, Only at Macy's", , , , Orig. CAD 68.19,-81.96, Was CAD 27.54,-81.96, Sale CAD 20.65,-61.98, ,-108
 , ," Alfani High-Low Top & Wide-Leg Trousers, Only at Macy's", , , , Orig. CAD 68.19,-81.96, Was CAD 27.54,-81.96, Sale CAD 20.65,-61.98, ,-107
 , ," Alfani Asymmetrical Top & Wide-Leg Trousers, Only at Macy's", , , , Orig. CAD 81.96,-88.85, Was CAD 49.18,-88.85, Sale CAD 35.80,-68.86, ,-107
 , ," INC International Concepts Peasant Top & Wide-Leg Pants, Only at Macy's", Deal of the Day, , , CAD 56.47,-95.74, , , SELECT ITEMS ON SALE, , ,-1
 , ," Alfani Sleeveless Tunic & Wide-Leg Soft Pants, Only at Macy's", , , , Orig. CAD 68.19,-81.96, Was CAD 27.54,-81.96, Sale CAD 20.65,-61.98, ,-121
 ," NEW! Alfani Faux-Leather Moto Jacket, Draped Blouse & Pants, Only at Macy's",, Deal of the Day, , , CAD 55.09,-117.08, , , SELECT ITEMS ON SALE, , , 
 , ," Alfani Geo-Print Swing Top & Wide-Leg Trousers, Only at Macy's", , , , Orig. CAD 81.96,-88.85, Was CAD 49.18,-88.85, Sale CAD 35.80,-68.86, ,-105
 , ," Alfani Faux-Leather Jacket, Tiered Top & Slim-Leg Pants, Only at Macy's", Deal of the Day, , , Reg. CAD 88.85,-137.07, Was CAD 55.09,-89.53, Sale CAD 48.20,-82.64, ,-1
 , , Maidenform One Fab Fit Stretch Demi Underwire Bra 7959, Deal of the Day, , , Reg. CAD 52.35, , , , Sale CAD 20.65, , ,-527
 , ," Alfani Jersey Swing Top & Trousers, Only at Macy's", , , , Orig. CAD 81.96,-88.85, Was CAD 49.18,-88.85, Sale CAD 35.80,-68.86, ,-103
 , ," Style & Co Faux-Leather Jacket & Bootcut Jeans, Only at Macy's", Special Savings, NEW MARKDOWN, select colors, Reg. CAD 68.19,-123.29, Was CAD 41.31,-95.74, Sale CAD 30.29,-67.02, ,-41
 , ," Alfani Printed Tunic & Knit Trousers, Only at Macy's", , , , Orig. CAD 81.96, Was CAD 49.18,-81.96, , Sale CAD 35.80,-61.98, ,-102
 , ," Alfani Appliqué Tunic & Trousers, Only at Macy's", , , , Orig. CAD 81.96,-95.74, Was CAD 41.31,-81.96, Sale CAD 30.29,-61.98, ,-103
 , ," Alfani Striped Cutout Top & Wide-Leg Trousers, Only at Macy's", , , , Orig. CAD 68.19,-81.96, Was CAD 40.91,-81.96, Sale CAD 30.29,-61.98, ,-103
 Extended Sizes, , Wacoal Awareness Full-Figure Seamless Underwire Bra 85567, , , , CAD 89.54, , , , , , ,-279
 ," NEW! Charter Club Bristol Skinny Ankle Jeans, Only at Macy's",, Deal of the Day, , , Reg. CAD 81.96, , , , Your Choice CAD 41.31, , , 
 ," NEW! Charter Club Cambridge Pull-On Pants, Only at Macy's",, , , , Reg. CAD 95.74, Was CAD 48.20,-95.74, , Sale CAD 35.80,-57.84, ,-293
 , ," Alfani Printed Cold-Shoulder Top & Trousers, Only at Macy's", , , , Orig. CAD 81.96,-88.85, Was CAD 49.18,-88.85, Sale CAD 35.80,-68.86, ,-105
 , ," Alfani Knit Top & Wide-Leg Trousers, Only at Macy's", , , , Orig. CAD 81.96, Was CAD 49.18,-81.96, , Sale CAD 35.80,-61.98, ,-122
 , ," Alfani Printed Surplice Top & Capri Pants, Only at Macy's", Deal of the Day, , , CAD 41.31,-55.09, , , SELECT ITEMS ON SALE, , ,-554
 , ," Alfani Draped Top & Wide-Leg Trousers, Only at Macy's", , , , Orig. CAD 81.96, Was CAD 49.18,-81.96, , Sale CAD 35.80,-61.98, ,-122
 , ," Alfani Cold-Shoulder Top & Trousers, Only at Macy's", , , , Orig. CAD 81.96, Was CAD 49.18,-81.96, , Sale CAD 35.80,-61.98, ,-110
 , , Alfani Racerback Tank & Wide-Leg Trousers. Only at Macy's, , , , Orig. CAD 81.96, Was CAD 49.18,-81.96, , Sale CAD 35.80,-61.98, ,-139
 , ," Style & Co Denim Jacket & A-Line Dress, Only at Macy's", Deal of the Day, , , Reg. CAD 68.19,-88.16, Was CAD 44.07,-55.09, Sale CAD 34.42,-41.31, ,-321
 , ," Alfani Double-Knit Jacket, Mock-Neck Top & Capri Pants, Only at Macy's", Everyday Value, , , CAD 35.80,-48.19, , , SELECT ITEMS ON SALE, , ,-597
 , ," Style & Co. Swing Dress, Only at Macy's", , , , CAD 68.19, , , , , , ,-58
 ," NEW! Thalia Sodi Peplum Necklace Top & Printed Pencil Skirt, Only at Macy's",, Deal of the Day, , , CAD 41.31,-109.51, , , SELECT ITEMS ON SALE, , ,-84
 , ," Alfani Zip-Up Blouse & Tummy-Control Pants, Only at Macy's", Everyday Value, , , CAD 35.80,-48.19, , , SELECT ITEMS ON SALE, , ,-553
 ," NEW! Alfani Textured Jacket, Blouson Top & Slim Pants, Only at Macy's",, Deal of the Day, , , Reg. CAD 95.74,-150.84, Was CAD 61.98,-96.41, Sale CAD 55.09,-89.53, , 
 also in petite, ," Alfani Tummy-Control Pull-On Capri Pants, Only at Macy's", NEW MARKDOWN, , select colors, Orig. CAD 48.19, , , , Everyday Value, Now CAD 41.31,-48.19,-553
 , ," Style & Co. Chiffon-Hem Top, Only at Macy's", Deal of the Day, , , Reg. CAD 47.53, Was CAD 35.80, , , Sale CAD 27.54, , ,-382
 also in plus sizes, , Celebrity Pink Juniors' Jayden Colored Wash Skinny Jeans, Deal of the Day, , , Reg. CAD 60.61, Was CAD 41.31, , , Sale CAD 27.54, , ,-13
 , ," Style & Co Exposed-Seam Top, Only at Macy's", Deal of the Day, , , Reg. CAD 47.53, Was CAD 30.29, , , Sale CAD 23.40, , ,-1
 tummy control, ," Charter Club Cambridge Tummy-Control Slim-Leg Pants, Only at Macy's", , , , Reg. CAD 95.74, Was CAD 48.20,-95.74, , Sale CAD 35.80,-57.84, ,-287
 ," NEW! Alfani Slit Cardigan, Lace Top & Slim Pants, Only at Macy's",, Deal of the Day, , , Reg. CAD 81.96,-109.51, Was CAD 55.09,-68.86, Sale CAD 48.20,-61.98, , 
 , , Vanity Fair Illumination String Bikini 18108, DEAL OF THE DAY, 6 for CAD 38.57, , CAD 15.84, , , , , , ,-337
 , , Free People Malibu High-Low Thermal Top, , , , Orig. CAD 93.67, Was CAD 55.09,-93.67,-93.67, Sale CAD 41.31, , ,-18
 , ," INC International Concepts Surplice Top, Only at Macy's", Deal of the Day, , , Reg. CAD 81.96, , , , Sale CAD 48.20, , , 
 , ," Karen Scott Layered-Look Top & Cropped Pants, Only at Macy's", , , , Reg. CAD 50.28,-54.41, , , Sale CAD 25.14,-33.05, ,-2
 , ," Style & Co. Bell-Sleeve Top & Bootcut Jeans, Only at Macy's", Deal of the Day, , , CAD 31.67,-47.53, , , SELECT ITEMS ON SALE, , ,-102
 , , JM Collection Studded Pull-On Pants, , , , Reg. CAD 68.19, Was CAD 34.09,-68.19, , Sale CAD 24.78,-34.42, ,-275
