,video,Getting started with molecular gastronomy," Nov 18, 2013 5:39 PM",,,Molecular gastronomy is the art of combining science lab methods with kitchen ingredients. Here's how to get started! (2:44)
,video,10 Ideas from DARPA," Sep 10, 2015 7:32 PM ",by Martyn Williams,,Thought-provoking questions on computer science and machine learning (5:37)
,video,"World Tech Update: Obama's BlackBerry, the Pope, and More..."," Jan 30, 2009 2:03 PM",by IDG News Service,,"In this week’s show: the European Commission considers hearing impairment risks caused by personal music players, Obama gets to keep his BlackBerry, the Gates Foundation donates money to eradicate polio, MIT creates a seeing machine, Japan launches a satellite, the Pope gets a YouTube channel, R4 Revolution comes back for Nintendo DS and Hitachi and Toshiba show off gesture controlled TVs. (7:26)"
,video,Hands On with Nintendo's Dsi," Apr 10, 2009 4:30 PM ",by PC World Video,,"Nintendo's recently released DSi has a host of new features, including two 0.3-megapixel webcams, sound editing and playback, and SD card slot, slightly larger screens, and the new DSi Shop Channel. Senior Writer Darren Gladstone tells you what works, and what doesn't. (3:50)"
,video,Lighting Science wants its Good Night Bulb to put you to sleep," Jan 8, 2014 4:02 PM",,,"The LED bulb removes blue hues of light that can keep you up at night, while another product -- the Alert & Awake Bulb-- helps you get started on your day. (0:59)"
,video,"Apple iPad Pro, drone bill vetoed, NASA 4K channel - The Wrap"," Sep 10, 2015 12:09 PM",by Nick Barber,,"Apple announces the iPad Pro, iPhone 6S and 6S Plus and updates to its Watch and TV, a drone bill designed to protect privacy gets vetoed and NASA plans a 24-hour 4K television channel. (2:56)"
,video,Basis Peak is the perfect activity tracker for hardcore quantified-selfers," Nov 6, 2014 4:26 PM ",by Jon Phillips,,"With automatic event logging and breakthrough heart-rate monitoring, the Basis Peak is a wrist-worn window into your own body science. (2:09)"
,video,Case study: Using VCloud to replicate data offsite," Aug 31, 2016 10:41 AM",,"At VMworld, Network World chatted with Tom White, IT Director at Environmental Science Corp., about how he virtualized disaster recovery using cloud technologies. ",
,video,Interested in cooking sous-vide style? The Anova Precision Cooker makes it easy. ," Jan 7, 2015 11:57 AM",by Sarah Jacobsson Purewal,,This French method of cooking by placing food inside a vacuum-sealed bag and boiling it at a controlled temperature is an art and a science. This device makes it easy for the home chef. (0:41)
,video,"Interview: Whitney Bouck, COO, HelloSign"," Jun 24, 2016 12:00 AM",,,"IDG CMO Perspectives provides insight into the state of Marketing across industries from leading business executives. Whitney Bouck, HelloSign’s Chief Operating Officer, speaks to Josh London, CMO of IDG and shares her thoughts on using insights to drive a better customer experience, the art and science of marketing and the importance of finding your service evangelists. (8:31)"
,video,"Interview: Simon Mulcahy, Interim CMO, Salesforce"," Jun 24, 2016 12:00 AM",,,"IDG CMO Perspectives provides insight into the state of Marketing across industries from leading business executives. Simon Mulcahy, interim CMO of Salesforce, speaks to Josh London, CMO of IDG and shares his thoughts on using insights to suggest next steps for customer outreach at exactly the right time, balancing the art and science of marketing and the Dreamforce Experience. (6:57)"
,video,"Interview: Fred Studer, CMO, Gigamon"," Sep 7, 2016 12:00 AM",,,"IDG CMO Perspectives provides insight into the state of Marketing across industries from leading business executives. Fred Studer, CMO of Gigamon, speaks to Josh London, CMO of IDG, and shares his insights on creative messaging through the art and science of marketing, along with development and use of new marketing concepts, among other topics. (5:34)"
,video,Gravity still works and these pumpkins prove it," Oct 31, 2014 11:54 AM",by Nick Barber,,Physics students pushed 36 pumpkins off a Boston University roof in honor of an experiment conducted by Galileo in the 1600s. (1:22)
,video,Hands-on: Omnity's search tool," Jan 7, 2016 2:20 PM",,,"Omnity is a research tool for enterprises that allows for searches based on phrases and context rather than relying on simple keywords. The results -- in both visual and textual formats -- can allow academics and corporate users to supercharge their searches and more easily glean information from disparate sources. Sponsored by the National Science Foundation, Omnity uses algorithms that find connections between the rarely shared words in a sentence or paragraph and then research those connections. (0:50)"
,video,"Interview: Karen Walker, CMO, Cisco "," Nov 16, 2016 9:00 PM",,,"IDG CMO Perspectives provides insight into the state of Marketing across industries from leading business executives. Karen Walker, CMO of Cisco, sat down for a three-part IDG CMO Perspectives series with Josh London, IDG’s CMO, to share her thoughts on marketing at Cisco. In Part 1, Karen and Josh discuss the art and science of marketing, the CMO’s evolving role and predictive marketing, among other things. (5:01)"
,video,Tech gifts for every budget," Nov 20, 2015 12:00 AM",by Computerworld Staff and Contributors,,"Looking for a great holiday gift for family, friends or colleagues? Check out this collection of tech gear to suit every taste and budget. (4:34)"
,video,Human or humanoid? Tokyo museum hires new guides," Jun 23, 2014 9:00 PM",by Nick Barber,,The robots meant to anticipate a time when androids are so lifelike that humans may have difficulty distinguishing them. Follow reporter Nick Barber on Twitter @nickjb (1:26)
,video,Hubo the robot meets the rich and influential," Jan 19, 2016 3:29 PM",by Martyn Williams,,"At the World Economic Forum meeting in Davos, Switzerland, on Monday, the DARPA-winning Hubo robot impressed attendees with its moves. Its presence highlights a future question for the global economy. (2:00)"
