,video,"Interview: Simon Mulcahy, Interim CMO, Salesforce",8 months ago,,,"IDG CMO Perspectives provides insight into the state of Marketing across industries from leading business executives. Simon Mulcahy, interim CMO of Salesforce, speaks to Josh London, CMO of IDG and shares his thoughts on using insights to suggest next steps for customer outreach at exactly the right time, balancing the art and science of marketing and the Dreamforce Experience. (6:57)"
,video,"Interview: Fred Studer, CMO, Gigamon",5 months ago,,,"IDG CMO Perspectives provides insight into the state of Marketing across industries from leading business executives. Fred Studer, CMO of Gigamon, speaks to Josh London, CMO of IDG, and shares his insights on creative messaging through the art and science of marketing, along with development and use of new marketing concepts, among other topics. (5:34)"
,video,Gravity still works and these pumpkins prove it,2 years ago,by Nick Barber,,Physics students pushed 36 pumpkins off a Boston University roof in honor of an experiment conducted by Galileo in the 1600s. (1:22)
,video,Hands-on: Omnity's search tool,1 year ago,,,"Omnity is a research tool for enterprises that allows for searches based on phrases and context rather than relying on simple keywords. The results -- in both visual and textual formats -- can allow academics and corporate users to supercharge their searches and more easily glean information from disparate sources. Sponsored by the National Science Foundation, Omnity uses algorithms that find connections between the rarely shared words in a sentence or paragraph and then research those connections. (0:50)"
,video,"Interview: Karen Walker, CMO, Cisco ",3 months ago,,,"IDG CMO Perspectives provides insight into the state of Marketing across industries from leading business executives. Karen Walker, CMO of Cisco, sat down for a three-part IDG CMO Perspectives series with Josh London, IDG’s CMO, to share her thoughts on marketing at Cisco. In Part 1, Karen and Josh discuss the art and science of marketing, the CMO’s evolving role and predictive marketing, among other things. (5:01)"
,video,Tech gifts for every budget,1 year ago,by Computerworld Staff and Contributors,,"Looking for a great holiday gift for family, friends or colleagues? Check out this collection of tech gear to suit every taste and budget. (4:34)"
,video,Human or humanoid? Tokyo museum hires new guides,3 years ago,by Nick Barber,,The robots meant to anticipate a time when androids are so lifelike that humans may have difficulty distinguishing them. Follow reporter Nick Barber on Twitter @nickjb (1:26)
,video,Hubo the robot meets the rich and influential,1 year ago,by Martyn Williams,,"At the World Economic Forum meeting in Davos, Switzerland, on Monday, the DARPA-winning Hubo robot impressed attendees with its moves. Its presence highlights a future question for the global economy. (2:00)"
,video,"Drone registration, autonomous cars, astronaut recruitment - The Wrap",1 year ago,by Nick Barber,,"You'll have to register that new drone you get, California is opening its roads to public use of autonomous cars and NASA is looking for new astronauts. Follow host Nick Barber on Twitter @nickjb (3:02)"
,video,"MIT Media Lab celebrates 30 with Martha Stewart, magicians and visionaries",1 year ago,by Nick Barber,,"MIT's Media Lab celebrated its 30th anniversary with tech visionaries including Marvin Minsky, Alan Kay and Danny Hillis. (2:54)"
,video,"Japanese androids hold news conference, chat with baby droids",2 years ago,"by Nick Barber, Tim Hornyak",,"At the Miraikan museum in Tokyo, robots are one step closer to taking over. Two female androids held their own news conference, with little participation from human beings. (1:26)"
,video,NASA will experiment with fire in space,11 months ago,by Martyn Williams,,"NASA will deliberately start a fire in space. Engineers are hoping to learn more about how fire spreads in zero gravity, and with that knowledge make safer space missions. (2:18)"
,video,Hololens explores a jet engine,7 months ago,by Martyn Williams,,"As part of its push to get businesses using Hololens, Microsoft showed off a Japan Airlines app that lets engineers explore jet engines during training. (2:05)"
