 ,"NEW! INC International Concepts Women's Digital White Silicone Strap Watch 38mm IN017RGWH, Only at Macy's", , Deal of the Day, Reg. CAD 54.41, , Sale CAD 38.09, , , 
 , , Betsey Johnson Women's Gold-Tone Bracelet Watch & Bangle Bracelet Set 36mm BJ00607-02, , Reg. CAD 103.32, , Sale CAD 77.49, ,-1, 
 , , Coach Women's Page Stainless Steel Bracelet Watch 24x30mm 14502664, Deal of the Day, Orig. CAD 378.82, Was CAD 284.12, Sale CAD 189.41, ,-1, 
 Smart Watch, , COACH Men's Bleecker Smart Brown Leather Strap Smart Watch 44mm 14602113, , CAD 406.37, , , ,-1, 
 Smart Watch, , Fitbit Women's Blaze Pink Smart Fitness Watch, , CAD 316.82, , , ,-1,
 , , Betsey Johnson Women's Silver-Tone Bracelet Watch 40mm BJ00190-79, , Reg. CAD 103.32, , Sale CAD 77.49, ,-1, 
 , , Betsey Johnson Women's Light Pink Leather Strap Watch 42mm BJ00019-75, , Reg. CAD 213.52, , Sale CAD 160.14, , , 
 , , Fitbit Unisex Charge 2 Brown Leather Accessory Band FB160LBCGL, , CAD 96.41, , , , , 
 , , Armitron Men's Stainless Steel Bracelet Watch 47mm 20-5197BKSV, , Reg. CAD 123.98, , Sale CAD 86.79, , , 
 , ," Charter Club Women's Heart Charm Gold-Tone Bangle Bracelet Watch 26mm, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, ,-2, 
 , , Betsey Johnson Women's Blue Denim Strap Watch 41mm BJ00331-09, , Reg. CAD 158.42, , Sale CAD 118.81, , , 
 , , Betsey Johnson Women's White Leather Strap Watch 32x45mm BJ00623-03, , Reg. CAD 158.42, , Sale CAD 118.81, , , 
 Smart Watch, , Garmin Unisex Forerunner 235 Black Silicone Strap Watch 31mm 010-03717-54, , CAD 454.57, , , , , 
 ,"NEW! INC International Concepts Women's Two-Tone Bracelet Watch 34mm and Crystal Accented Bracelet Set IN016RGG, Only at Macy's", , Deal of the Day, Reg. CAD 95.74, , Sale CAD 67.02, , , 
 , , DreamWorks Trolls Women's Faux-Fur Pink Pom Pom Keychain Watch 23mm TRLAQ16080, Deal of the Day, Orig. CAD 47.53, Was CAD 35.65, Sale CAD 23.76, , , 
 ,"NEW! INC International Concepts Women's Silver-Tone Bracelet Watch 38mm IN015S, Only at Macy's", , Deal of the Day, Reg. CAD 68.19, , Sale CAD 47.73, , , 
 Smart Watch, , Fitbit Unisex Blaze Black Elastomer Band Fitness Watch 40mm FB502GMBKL, , CAD 316.82, , , ,-3, 
 , ," Charter Club Women's Gold-Tone Bracelet Watch 23mm 17372, Only at Macy's", Deal of the Day, Reg. CAD 51.66, , Sale CAD 34.42, , , 
 ,NEW! COACH Women's Delancey Coral Leather Strap Watch 36mm 14502719, , FREE GIFT WITH PURCHASE, CAD 344.39, , , , , 
 , ," INC International Concepts Women's Crystal Gunmetal Bracelet Watch 40mm IN006GT, A Macy's Exclusive Style", Deal of the Day, Reg. CAD 68.19, , Sale CAD 47.73, , , 
 , , COACH Women's Hangtag Bangle Stainless Steel Bangle Bracelet Watch 28mm 14502688, Deal of the Day, Orig. CAD 309.95, Was CAD 232.46, Sale CAD 154.97, , , 
 , , Betsey Johnson Women's Gold-Tone Bracelet Watch 42mm BJ00131-86, , Reg. CAD 103.32, , Sale CAD 77.49, ,-2, 
 , , Betsey Johnson Women's Rose Gold-Tone Bracelet Watch 36mm BJ00607-03, , Reg. CAD 103.32, , Sale CAD 77.49, ,-1, 
 , ," INC International Concepts Women's Gold-Tone and Black Acrylic Bracelet Watch & Bracelets Set 30mm, Only at Macy's", Deal of the Day, Reg. CAD 95.74, , Sale CAD 67.02, ,-1, 
 , , Betsey Johnson Women's Fuchsia Leather Strap Watch 44mm BJ00614-02, , Reg. CAD 172.19, , Sale CAD 129.14, , , 
 , , Betsey Johnson Women's Pink Floral Printed Black Bracelet Watch 40mm BJ00482-13, , Reg. CAD 103.32, , Sale CAD 77.49, , , 
 ,NEW! Marc by Marc Jacobs Women's Roxy Navy Leather Strap Watch 36mm MJ1534, , , CAD 241.07, , , , , 
