 SMS Home Security System, by Saiyam, , in Microcontrollers,30,601
 SUSHI @ HOME, by bmelton1, , in Main Course,99, 5.0K
 How To Roast Coffee At Home, by Show and Tell, , in Coffee,11,223
 How to Sell Your Home, by Ninzerbean, in, ,169, 15K
 Home automation server with router, by mrx23dot, , in Remote Control,502, 243K
 Payphone in the Home, by kerlin313, , in Electronics,67, 57K
 GETTING STARTED WITH HOME AUTOMATION SYSTEM., by appytechie, , in Arduino,251, 9.2K
Solar Powering My Home!,by Mjtrinihobby,,in Solar,1295,125K
 Physical Home Automation Interface, by electronichamsters, , in Arduino,98, 8.1K
 Crochet Home, by Yarnabees, , in Knitting & Crocheting,109, 31K
 How to make PCB at Home, by Engg_suraj, , in Electronics,648, 133K
 Smart Home Power Strip, by Samuel_Alexander, , in Arduino,647, 39K
 Get Home Bag (G.H.B.), by SamuraiBobX26, , in Survival,315, 33K
 Home made plastic very easy, by mkhalil1, , in Science,33, 16K
 Voice Controlled Smart Home, by taifur, , in Wireless,43,766
 Repair IPhone Home Button With Earplug., by eelislehtinen, , in Electronics,12, 3.3K
 How to brew kombucha at home, by jessyratfink, , in Homebrew,241, 18K
 At-home screenprinting, by UrbanThreads, , in Fiber Arts,325, 163K
 Turning a Trashed Mobile Home into a Shop, by Vyger, , in Repair,150, 68K
 DIY Android Home Automation Box, by ASCAS, , in Arduino,843, 77K
 Is Cold Air Coming into Your Home?, by Blockman301, , in Arduino,49, 3.5K
 Make your own 'Home Computer', by gfwilliams, , in Microcontrollers,266, 28K
 Simple Cloud Based Home Surveillance, by AlexJ10, , in Remote Control,235, 7.5K
 Raspberry-Pi Home Heating Controller, by JffryPwll, , in Raspberry Pi,9,172
 TinyDice: Professional PCBs at home, by Emiliano Valencia, , in Arduino,238, 33K
 Design Your Home with Autodesk Homestyler, by antoniraj, , in Digital Graphics,662, 42K
 How to a Build a Riser for Home Theater Seating, by gburke3, , in Home Theater,27,450
 Hand Painted Bottles For Home Decor, by Anusree Pushpan, , in Gifts & Wrapping,47, 1.3K
 IR Remote Controlled Home Automation, by DIYmechanics, , in Arduino,12, 
 Whirley Pop Home Coffee Roaster, by drakep11, , in Coffee,41, 1.0K
 My Home Assistant (Automation System)!, by Mjtrinihobby, , in Computers,807, 53K
 Home Made Arduino Prototype Shield, by waihung, , in Arduino,52, 14K
 DIY - Making of Lord Ganesha at home, by archanajayakumar, , in Clay,55, 13K
 IRobot Create Personal Home Robot, by dttworld, , in Robots,237, 96K
Make your own EL wire at home,by JeriEllsworth,,in Electronics,132,35K
 Decorate Your Home With Balloons Floating in Air,by jaspalsgnr, , in Decorating,3,537
 How to Build the Ultimate Entrance to a Home Theater,by gburke3, , in Home Theater,4,162
 ARDUINO WIRELESS HOME SECURITY SYSTEM, by deba168, , in Arduino,975, 230K
 Jarvis: An Arduino Based Home Automation System,by C.V.Hariharan, , in Arduino,257, 11K
 Net Zero green home costume,by Lillyvilleky, , in Funny,3,548
 How to Make Your Home Environmentally Friendly,by hcopelan, , in Green,48, 26K
 Easy Generator to Home Hook Up,by More Cowbell, , in Survival,1676, 1.2M
 Home Brewing: How To Make A Yeast Starter,by BeerCollege, , in Homebrew,108, 29K
 Make A Home Brew Keg Line Cleaner,by zymurgyguy, , in Homebrew,7,270
 How to make a Simple Home Automation System,by AshokK17, , in Arduino,231, 12K
 Hedgehog Pallet Home (Possibly Combine It With Your Compost),by Lineakat, , in Pallets,7,746
 Home Guarduino - IoT Connected Security System,by Allan_D_Murray, , in Arduino,238, 11K
 Home media center using raspberry pi,by AnilK14, , in Raspberry Pi,921, 81K
 Voice Activated Power Sockets (Home Automation),by RajkumarRaval, , in Remote Control,212, 18K
 ARDUINO BASED VOICE ACTIVATED HOME APPLIANCES,by alt_sense, , in Arduino,186, 5.0K
 Arduino IR Home Automation v1.0,by Hey Dave, , in Arduino,63, 1.1K
 A smart JPEG camera for home security,by Stephen LEE, , in Raspberry Pi,56, 3.8K
" ""Cheap, Easy, Internet Controlled Home Automation System",by leevonk, , in Robots,158, 53K
 Home Gardening,by Instructables Guides, , in Gardening,95, 166K
 A Decluttered Home,by LarissaK6, , in Organizing,23,562
 Ultimate Raspberry Pi Home Server,by DrWilson, , in Raspberry Pi,3927, 1.3M
 Desk to TV Hutch/Home Theater conversion,by DorkyDennis, , in Furniture,7, 4.6K
 Printing onto Fabric at Home - Mount Spray,by ThreeBearsPrints, , in Art,236, 10K
 ESP8266 Home automation Part 1,by klauson, , in Wireless,259, 11K
 Clean Wool at Home,by amalkhan, , in Cleaning,180, 13K
" ""A Pallet Home, Sweet Home",by gaby35b2, , in Furniture,17,197
 My Sesame Street Home Video Coasters,by ArianaSLabus, , in Art,9, 
 Installing a Toilet; Home Improvement,by PaleoPunk, in, ,54, 7.7K
 Arduino Based Smart Home IOT System,by Ardumotive_com, , in Arduino,488, 30K
 Uber Home Automation w/ Arduino & Pi,by electronichamsters, , in Arduino,4233, 1.2M
