High quality cr80 id business plastic card variable data," Shenzhen ZDCARD Tech Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,US $0.1-1 / Piece,"Place of Origin: CN;GUA,Guangdong China (Mainland","Brand Name: ZDcard,zdcard plastic card",54 Transactions(6 months),Response Rate,500 Pieces (Min. Order) ,Model Number: plastic card,"100,000+",83.70%,Thickness: 0.76 or costom,"Application: Club, visiting, promotion, advertising",Size: CR80 85.5*54mm/customized,6 Photos,Add to Compare,Contact Supplier,Leave Messages,Sponsored Listing,
Second-hand huawei VDLE MA5616 VDSL broadband data interface card 32 new measuring business card looks good quality,"Shenzhen Taiersen Electronic Co., Ltd.",China (Mainland),,Transaction Level: ,US $90-92 / Piece ,"Place of Origin: Guangdong,China (Mainland)",Brand Name: Huawei,4 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Model Number: vdle,"10,000+",93.10%,,,,2 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
"fiber access technology GPON access solutions for delivering residential, business, and mobile backhaul services.", ZISA Technologies (Beijing) Inc.,China (Mainland), Trade Assurance,Transaction Level: ,US $40-50 / Set ,Type: 2*2 wireless 11N,Model Number: OP156,4 Transactions(6 months),Response Rate,1 Set (Min. Order) ,Brand Name: ZISA,"10,000+",94.40%,"Place of Origin: Guangdong,China (Mainland)",Color: White,"Connector: SC/APC, pigtail",6 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
Telecom equipment 2-PON FTTH /FTTB GEON Fiber OLT (EMS NMS) for small business," Shenzhen C-Data Technology Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,,Type: epon olt,Application: FTTB/FTTC/FTTH and EPON+EOC acces,8 Transactions(6 months),,1 Piece (Min. Order) ,Model Number: FD1002S,"150,000+",,Brand Name: C-DATA,"Place of Origin: Guangdong,China (Mainland)",Weight: GW:4kg NW:3KG,3 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
shenzhen Good quality 24+2 fiber ports switch poe Gigabit data Stock Products Status Network Switch," Shenzhen Freedom Technology Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,US $145-200 / Piece,Communication Mode: Full-Duplex & Half-Duplex,Model Number: EL1226VP-E,11 Transactions(6 months),Response Rate,10 Pieces (Min. Order),Brand Name: kayseda,"10,000+",89.70%,Products Status: Stock,"Place of Origin: Guangdong,China (Mainland)","Transmission Rate: 10/100Mbps,Supports Halp-Duplex ",,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
data center HPL alibaba china supplier operating room raised flooring access flooring for ideal offices antistatic 1.2mm," Jiangsu XL Intelligent Technology Co., L",China (Mainland),,Transaction Level: ,US $5-7 / Piece ,Metal Type: Steel,Type: Anti-Static Flooring,2 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Material: Metal,"30,000+",70.40%,Model Number: FS400-FS2000,Place of Origin: CN,Brand Name: ATFLOR,2 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
Handheld Android terminal with wifi gprs 3G RFID NFC thermal printer and QR Barcode scanner For business data," Shenzhen ZKC Software Technology Co.,",China (Mainland), Trade Assurance,Transaction Level: ,US $180-230 / Unit,Processor Type: Samsung,"Place of Origin: Guangdong,China (Mainland)",3 Transactions(6 months),Response Rate,1 Unit (Min. Order),Products Status: Stock,"80,000+",88.70%,Screen Size: 3.5,Brand Name: ZKC,Model Number: PDA3501,4 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
Small Business SFP 10/100/1000Mbps 24 Port PoE Switch china supermarkt, Optical Network Video Technologies (Sh,China (Mainland), Trade Assurance,Transaction Level: ,US $150-300 / Piece,Model Number: POE31024P-A86,Ports: 24,12 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Products Status: Stock,"440,000+",55.30%,"Function: POE,QoS,VLAN Support","Certification: CE,FCC,RoHS",Type: POE31024P,,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
Handheld POS handheld business card scanner,"Beijing Speedata Technology Co., Ltd.",China (Mainland),,Transaction Level: ,US $240-500 / Unit ,Processor Type: Marvell PXA910/310,Place of Origin: CN,2 Transactions(6 months),Response Rate,1 Unit (Min. Order) ,Operating System: Android 2.3/ Windows mobile/ W,900+,60.00%,Weight: >275g,Memory Capacity: 256MB,Model Number: MT02,,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
CARIBE PL-40L Af114 Business data management wireless bluetooth 3g rugged pda," Shenzhen Pan Ling Technology Co., Ltd.",China (Mainland), Trade Assurance,Transaction Level: ,US $250-500 / Piece ,"Color: Black,Orange",Processor Type: Amlogic,4 Transactions(6 months),,1 Piece (Min. Order) ,Style: Handheld Computer,"30,000+",,Operating System: android 4.1,Memory Capacity: ROM:4G RAM:1G,Model Number: PL-40L,6 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
PDA3501 portable data collect terminal rugged barcode scanner android," Shenzhen Qunsuo Technology Co., Ltd.",China (Mainland),,Transaction Level: ,US $125-180 / Piece,Color: Black,Processor Type: Media Tek MT6572,11 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,"Place of Origin: Guangdong,China (Mainland)","310,000+",88.00%,Products Status: Stock,Screen Size: 3.5inch,Brand Name: QUNSUO,7 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
High performance 2d read head design M80 mobile data terminal, Shanghai Lanbern International Trade C,China (Mainland), Trade Assurance,Transaction Level: ,US $350.0-455.0 / Set,"Place of Origin: Zhejiang,China (Mainland)",Memory Capacity: 256MB,1 Transaction(6 months),Response Rate,1 Set (Min. Order),Brand Name: lanbern,100+,52.60%,Model Number: m80,,,4 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
Second-hand huawei ADLE MA5616 ADSL broadband data interface card 32 new measuring business card looks good ,"Shenzhen Taiersen Electronic Co., Ltd.",China (Mainland),,Transaction Level: ,US $50-70 / Piece,"Place of Origin: Guangdong,China (Mainland)",Brand Name: Huawei,4 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Model Number: ADLE,"10,000+",93.10%,,,,3 Photos,Add to Compare,Contact Supplier,Chat Now!,,Similar Products 
Business data management Handheld PDA nfc reader wireless /nfc handheld terminal," Shenzhen ZKC Software Technology Co., ",China (Mainland), Trade Assurance,Transaction Level: ,US $180.0 / Piece ,Color: Black,Processor Type: Cortex-A7 architecture,3 Transactions(6 months),Response Rate,2 Piece (Min. Order) ,Operating System: Android 4.2,"80,000+",88.70%,Weight: 0.27KG,Memory Capacity: 256MB,Model Number: PDA3501,4 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
data center HPL alibaba china supplier oa steel access flooring raised floor in banking house antistatic 1.2mm," Jiangsu XL Intelligent Technology Co., L",China (Mainland),,Transaction Level: ,US $5-7 / Piece ,Metal Type: Steel,Type: Anti-Static Flooring,2 Transactions(6 months),Response Rate,1 Piece (Min. Order) ,Material: Metal,"30,000+",70.40%,Model Number: FS400-FS2000,Place of Origin: CN,Brand Name: ATFLOR,2 Photos,Add to Compare,Contact Supplier,Leave Messages,,Similar Products 
