Chaucer's Dream Poetry,Helen Phillips,$81.95 ,$65.56 
The Panasonic Lumix DMC-GH2: The Unofficial Quintessential Guide,Brian Matsumoto Ph.D,$25.99 ,$15.33 
A Faith of Their Own: Stability and Change in the Religiosity of America's Adolescents,Lisa Pearce,$27.99 ,$15.39 
Build Your Own PC on a Budget: A DIY Guide for Hobbyists and Gamers,John Mueller,$31.51 ,$17.02 
Greek Writing from Knossos to Homer: A Linguistic Interpretation of the Origin of the Greek Alphabet and the Continuity of Ancient Greek Literacy,Roger D. Woodard,$135.00 ,$108.00 
Racine and English Classicism,Katherine E. Wheatley,$30.91 ,$17.00 
Photographer's Guide to the Canon Powershot S100,Alexander White,$10.89 ,$8.71 
Photographer's Guide to the Nikon Coolpix P600: Getting the Most from Nikon's Superzoom Digital Camera,Alexander S. White,$10.89 ,$8.71 
Just Spring Integration: A Lightweight Introduction to Spring Integration,Madhusudhan Konda,$17.99 ,$9.99 
C++ Recipes: A Problem-Solution Approach,Bruce Sutherland,$45.71 ,$36.57 
"CompTIA A+ Certification Boxed Set, Second Edition (Exams 220-801 & 220-802): Edition 2",Jane Holcombe,$73.51 ,$58.81 
Kali Linux Wireless Penetration Testing Essentials,Marco Alamanni,$34.99 ,$19.74 
JDBC Recipes: A Problem-Solution Approach,Mahmoud Parsian,$78.96 ,$63.17 
Photographer's Guide to the Sony DSC-RX100 IV: Getting the Most from Sony's Pocketable Digital Camera,Alexander S. White,$10.89 ,$8.71 
Zinc Signals in Cellular Functions and Disorders,Toshiyuki Fukada,$63.04 ,$56.74 
Home Networking: The Missing Manual,Scott Lowe,$5.75 ,$5.18 
VoIP Hacks: Tips & Tools for Internet Telephony,Theodore Wallingford,$26.99 ,$14.57 
"Forks, Phonographs, and Hot Air Balloons: A Field Guide to Inventive Thinking",Robert J. Weber,$45.00 ,$36.00 
Using Scribe Insight: Developing Integrations and Migrations using the Scribe Insight Platform,Mark Beckner,$37.36 ,$29.89 
OSA-Express Implementation Guide,Mike Ebbers,,Free
Photographer's Guide to the Canon PowerShot S110: Getting the Most from Canon's Pocketable Digital Camera,Alexander S. White,$10.89 ,$8.71 
"Web Services, Service-Oriented Architectures, and Cloud Computing: The Savvy Manager's Guide, Edition 2",Douglas K. Barry,$56.00 ,$42.00 
Photographer's Guide to the Fujifilm Finepix X100: Getting the Most from Fujifilm's Premium Digital Camera,Alexander S. White,$10.89 ,$8.71 
How to Fix Absolutely Anything: A Homeowner's Guide,Instructables.com,$20.95 ,$13.79 
PacketCable Implementation,Jeff Riddel,$63.99 ,$51.19 
Data Binding with Windows Forms 2.0: Programming Smart Client Data Applications with .NET,Brian Noyes,$51.99 ,$41.07 
Oracle WebLogic Server 12c Administration Handbook,Sam R. Alapati,$63.01 ,$50.41 
Managing and Securing a Cisco Structured Wireless-Aware Network,David Wall,$69.00 ,$55.20 
Situation Awareness with Systems of Systems,Piërre van de Laar,$45.15 ,$40.64 
World-Wide Shakespeares: Local Appropriations in Film and Performance,Sonia Massai,$49.95 ,$39.46 
Experiencing Theatre,Anne Fletcher,$21.57 ,$13.18 
PowerPC Microprocessor Common Hardware Reference Platform: A System Architecture,"Apple Computer, Inc.",$63.00 ,$50.40 
Herb Schildt's C++ Programming Cookbook,Herbert Schildt,$59.95 ,$47.36 
Molecular and Cellular Mechanisms of Neuronal Plasticity: Basic and Clinical Implications,Yigal H. Ehrlich,$82.43 ,$74.19 
Attaining High Performance Communications: A Vertical Approach,Ada Gavrilovska,$79.95 ,$63.96 
"Television Across Asia: TV Industries, Programme Formats and Globalisation",Michael Keane,$63.95 ,$51.16 
Serial Innovators: Firms That Change the World,Claudio Feser,$27.99 ,$22.39 
Xamarin Mobile Application Development for Android: Edition 2,Nilanchala Panigrahy,$44.99 ,$31.72 
Photographer's Guide to the Nikon Coolpix P520: Getting the Most from Nikon's Superzoom Digital Camera,Alexander S. White,$10.89 ,$8.71 
"The Art of Adapting Victorian Literature, 1848-1920: Dramatizing Jane Eyre, David Copperfield, and The Woman in White",Karen E. Laird,$64.00 ,$51.20 
Warriors of Old Japan,Yei Theodora Ozaki,$6.99 ,$5.38 
Full Circle Magazine #97: THE INDEPENDENT MAGAZINE FOR THE UBUNTU LINUX COMMUNITY,Ronnie Tucker,,Free
Homeplug AV and IEEE 1901: A Handbook for PLC Designers and Users,Haniph A. Latchman,$105.99 ,$84.79 
Adaptation Studies: New Approaches,Christa Albrecht-Crane,$60.40 ,$48.32 
Understanding Terence,Sander M. Goldberg,$44.50 ,$31.37 
A Faith of Their Own: Stability and Change in the Religiosity of America's Adolescents,Lisa Pearce,$27.99 ,$15.39 
Your iPod Life: A Guide to the Best iPod Accessories from Playlist,Dan Frakes,$9.99 ,$7.99 
The Panasonic Lumix DMC-G2: The Unofficial Quintessential Guide,Brian Matsumoto Ph.D,$25.99 ,$15.33 
"Information Technology and Lawyers: Advanced Technology in the Legal Domain, from Challenges to Daily Routine",Arno R. Lodder,$52.15 ,$46.94 
Grating Spectroscopes and How to Use Them,Ken M. Harrison,$12.23 ,$11.01 
The Sony a7 and a7R: The Unofficial Quintessential Guide,Brian Matsumoto Ph.D,$16.99 ,$9.99 
"CompTIA Security+ SY0-301 Cert Guide, Deluxe Edition: Edition 2",David L. Prowse,$63.99 ,$51.19 
"WebSphere Business Integration Primer: Process Server, BPEL, SCA, and SOA (Adobe Reader)",Vinod Jessani,$43.99 ,$31.72 
Your Ableton Live Studio,Chris Buono,,$31.99 
Microsoft SQL Server 2008 Integration Services Unleashed,Kirk Haselden,$47.99 ,$37.67 
Software Architectures and Component Technology,Mehmed Aksit,$96.49 ,$86.84 
Photographer's Guide to the Sony DSC-RX100 V: Getting the Most from Sony's Pocketable Digital Camera,Alexander S. White,$10.89 ,$8.71 
The Heart of Everything That Is: Young Readers Edition,Bob Drury,,$11.99 
"The CBS Radio Mystery Theater: An Episode Guide and Handbook to Nine Years of Broadcasting, 1974-1982",Gordon Payton,$25.79 ,$23.61 
A C++ szabványos sablonkönyvtár (STL) adapter tárolói: Gyakorlatorientált szoftverfejlesztés C++ nyelven Visual Studio Community fejlesztőkörnyezetben,Katona József és Kővári Attila,$4.51 ,$3.45 
BizTalk 2010 Recipes: A Problem-Solution Approach,Mark Beckner,$65.96 ,$52.77 
Windows Internals: Edition 5,David A. Solomon,$55.99 ,$43.11 
Irena's Children: Young Readers Edition; A True Story of Courage,Tilar J. Mazzeo,,$11.99 
Apple Watch: The Complete Guide,Alexander Mayword,$4.34 ,$3.32 
Advanced CORBA® Programming with C++,Michi Henning,$63.99 ,$51.19 
"The iPad for Photographers: Master the Newest Tool in your Camera Bag, Edition 2",Jeff Carlson,$19.99 ,$9.99 
The Complete Guide to Sony's Alpha 7r Ii,Gary L. Friedman,$39.99 ,$31.19 
Token Ring Technology Report,Architecture Technology Corpor,$36.00 ,$28.44 
Pro ADO.NET with VB .NET 1.1,Kevin Hoffman,$51.25 ,$40.49 
Photographer's Guide to the Sony DSC-RX100 II: Getting the Most from Sony's Pocketable Digital Camera,Alexander S. White,$10.89 ,$8.71 
Film Adaptation and Its Discontents: From <i>Gone with the Wind</i> to <i>The Passion of the Christ</i>,Thomas Leitch,$22.67 ,$20.40 
Microsoft Dynamics CRM 4 Integration Unleashed,Marc Wolenik,$47.99 ,$37.67 
"Differential and Difference Equations through Computer Experiments: With Diskettes Containing PHASER: An Animator/Simulator for Dynamical Systems for IBM Personal Computers, Edition 2",Hüseyin Kocak,$39.24 ,$35.32 
"The Java EE 7 Tutorial: Volume 2, Edition 5",Eric Jendrock,$39.99 ,$31.19 
Photographer's Guide to the Sony DSC-RX100: Getting the Most from Sony's Pocketable Digital Camera,Alexander S. White,$10.89 ,$8.71 
"Wake Up, Stupid",Mark Harris,$5.99 ,$4.61 
Re-visiting and Re-staging,Anupam Vatsyayan,$106.87 ,$85.50 
Design Patterns in Java: Edition 2,Steven John Metsker,$51.99 ,$41.07 
"Organizational, Direct Support, and General Support Maintenance Repair Parts and Special Tools Lists for Simulator, Radar Signal SM-674/UPM (NSN 6940-01-031-5887) and Test Adapter, Radar Set MX-9848/APR-39(V) 1 (NSN 5841-01-025-0379).",,,Free
Stanley Kubrick: Adapting the Sublime,Elisa Pezzotta,$75.58 ,$60.46 
S'adapter au changement climatique: Analyse critique des nouvelles politiques de gestion de l'environnement. Cas spécifiques de l'agriculture en Inde et du tourisme hivernal en Suisse,Johann Dupuis,,Free
VMware ESX Server in the Enterprise: Planning and Securing Virtualization Servers,Edward Haletky,$47.99 ,$37.67 
"De l'ABAP procedural à l'objet: S'auto-former à SAP, évoluer en même temps que SAP",Yann SZWEC,$21.67 ,$13.00 
Cell Death: Mechanism and Disease,Hao Wu,$73.15 ,$65.84 
Operator and Organizational Maintenance Manual for Electro-optical Target Designator Set AN/TVQ-2 (G/VLLD) (1260-01-046-2843) and G/VLLD M113A1 Vehicle Adapter (1260-01-082-4981).,,,Free
"Organizational, Direct Support, and General Support Maintenance Repair Parts and Special Tools List Including Depot Maintenance Repair Parts and Special Tools for TOW 2 Field Test Set, AN/TSM-140B 4935-01-142-9561 TOW 2 Field Test Set, Test Adapter 4935-01-070-3427: TOW 2 Heavy Antitank/assault Weapon System",,,Free
Hitchcock at the Source: The Auteur as Adapter,R. Barton Palmer,$33.68 ,$20.58 
"Harlem Jazz Adventures: A European Baron's Memoir, 1934-1969",Timme Rosenkrantz,$109.99 ,$87.99 
Adapter son logement à l'âge et aux problèmes de santé: Conseils et astuces pour sécuriser votre logement,All The Content,,$0.99 
SAN Boot Implementation and Best Practices Guide for IBM System Storage,Sangam Racherla,,Free
The NexStar Evolution and SkyPortal User's Guide,James L. Chen,$13.08 ,$11.77 
Jeûne - Capital santé: Programme pratique pour un jeûne 100 % réussi,Alexis Delune,$4.39 ,$3.36 
Extending SAP Solutions to the Mobile Enterprise with IBM MobileFirst Platform Foundation,Khirallah Birkler,,Free
Microsoft Biztalk 2010: Line of Business Systems Integration,Kent Weare,$35.99 ,$20.39 
Set up Linux on IBM System z for Production,Lydia Parziale,,Free
The Metaphysics of Virtual Reality,Michael Heim,$26.00 ,$14.04 
Networking For Dummies: Edition 8,Doug Lowe,$17.99 ,$14.39 
Integrated Virtualization Manager for IBM Power Systems Servers,Scott Vetter,,Free
"Douglas [by J. Home] travestie: to which are added, Poems and songs, chiefly in the broad Scottish dialect",George Smith (adapter of 'Douglas'.),,Free
From Pixels to Animation: An Introduction to Graphics Programming,James Alan Farrell,$104.00 ,$83.20 
Emma: Volume 1,Nancy Butler,$9.17 ,$7.34 
IBM Power Systems SR-IOV: Technical Overview and Introduction,Scott Vetter,,Free
Exercices d'orthographe et de syntaxe appliqués numéros par numéros à la Grammaire complète et à la Grammaire supérieure et de nature à s'adapter à tout autre cours de langue française,Pierre Larousse,,Free
Nouvelle Inventions appareils pour opérer en voyage et pouvant s'adapter a toutes les chambres noires de photographe,,,Free
Oracle E-Business Suite Development & Extensibility Handbook,Anil Passi,$71.95 ,$57.56 
ActionScript 3.0 Design Patterns: Object Oriented Programming Techniques,William Sanders,$40.99 ,$31.97 
