 , Diamond Heart Pendant Necklace (1/10 ct. t.w.) in 14k Gold and Sterling Silver," BONUS OFFER, ONLY CAD 81.27", CAD 344.39,, , , , , , , , 
 Extended Sizes, Classique by EFFY® Diamond Wide-Style Ring (1-1/2 ct. t.w.) in 14k Gold or White Gold, Limited-Time Special," Reg. CAD 5,510.16",, , ," Sale CAD 2,064.93", FREE GIFT WITH PURCHASE,-7, , , 
 , Solid Hinge Bangle in 10k Gold, Deal of the Day," Orig. CAD 1,033.16",, Was CAD 756.27, , Sale CAD 225.90, BONUS VALUE CAD 344.39,-25, , , 
 , Diamond Five-Row Band (1-1/2 ct. t.w.) in 14k White Gold, Deal of the Day," Orig. CAD 6,193.28",," Was CAD 5,229.00", ," Sale CAD 1,567.63", BONUS VALUE CAD 344.39,-1, , ,
 , Pink Sapphire (2-1/4 ct. t.w.) and Diamond Accent Heart Pendant Necklace in Sterling Silver, Limited-Time Special, Reg. CAD 826.52,, Was CAD 495.91, , Sale CAD 301.68, BONUS VALUE CAD 344.39,-23, , ,
 ," Le Vian Chocolatier® Peach Morganite® (1-1/2 ct. t.w.), Aquamarine (1/2 ct. t.w.) and Diamond (1/3 ct. t.w.) Ring in 14k Rose Gold", Limited-Time Special," Reg. CAD 4,408.13",, , ," Sale CAD 1,376.16", FREE GIFT WITH PURCHASE,-9, , ,
 ," Bypass Ring in 14k Gold, Made in Italy", BONUS VALUE CAD 344.39, CAD 826.52,, , , , ,-13, , , 
 Extended Sizes, Diamond Band (1 ct. t..w) in 14k White Gold or Gold, BONUS VALUE CAD 344.39," Reg. CAD 2,204.06",, , ," Sale CAD 1,212.24", ,-38, ,, 
 Extended Sizes, Sapphire (9/10 ct. t.w.) and Diamond (1/10 ct. t.w.) Ring in 14k White Gold (also in Ruby and Emerald), Deal of the Day, Orig. CAD 826.52,, Was CAD 783.82, , Sale CAD 234.17, BONUS VALUE CAD 344.39,-22, , , 
 ," 14k Gold Bracelet, Mesh Bracelet", Deal of the Day," Orig. CAD 1,653.05",," Was CAD 1,321.06", , Sale CAD 395.34, BONUS VALUE CAD 344.39,-25, , , 
 Extended Sizes, Victoria Townsend Rose-Cut Diamond S Ring in 18k Gold Over Sterling Silver or Sterling Silver (1/4 ct. t.w.), BONUS VALUE CAD 344.39, Orig. CAD 220.41,, , , Now CAD 55.09, ,-122, ,, 
 , Diamond Stud Earrings in 14k White Gold (1 ct. t.w), Deal of the Day," Orig. CAD 1,928.56",," Was CAD 1,866.57", , Sale CAD 559.27, BONUS VALUE CAD 344.39,-61, , , 
 , Classique by EFFY Diamond Band (1-1/10 ct. t.w.) in 14k White or Yellow Gold, Deal of the Day," Orig. CAD 4,752.51",," Was CAD 4,613.38", ," Sale CAD 1,570.38", BONUS VALUE CAD 344.39,-4, , ,
 , Diamond Pave Stud Earrings in 14k White Gold (1/2 ct. t.w.), Deal of the Day, Orig. CAD 964.28,, Was CAD 848.43, , Sale CAD 253.45, BONUS VALUE CAD 344.39,-16, , ,
 , TruMiracle® Diamond Spiral Stud Earrings (1-1/4 ct. t.w.) in 14k Gold or White Gold, Limited-Time Special," Reg. CAD 3,443.85",, , ," Sale CAD 1,100.65", FREE GIFT WITH PURCHASE,-2, , , 
 Extended Sizes, Diamond Ring in Sterling Silver (1 ct. t.w.), Deal of the Day," Orig. CAD 1,377.54",," Was CAD 1,301.78", , Sale CAD 389.83, BONUS VALUE CAD 344.39,-26, , ,
 , Men's Gauge Curb Chain Necklace in 10k Gold, Deal of the Day," Orig. CAD 6,887.70",," Was CAD 6,197.55", ," Sale CAD 1,858.29", BONUS VALUE CAD 344.39,-2, , , 
 , Diamond Stud Earrings (1/2 ct. t.w.) in 14k White Gold, BONUS VALUE CAD 344.39," Reg. CAD 1,102.03",, , , Sale CAD 606.12, ,-14, , , 
 , TruMiracle® Diamond Three-Stone Ring (1 ct. t.w.) in 14k Gold or White Gold, Limited-Time Special," Reg. CAD 3,030.59",," Was CAD 2,121.41", ," Sale CAD 1,100.65", FREE GIFT WITH PURCHASE,-15, , , 
 Certified Diamond, Near Colorless Certified Diamond Stud Earrings in 18k White or Yellow Gold (1-1/4 ct. t.w.), BONUS VALUE CAD 344.39," Reg. CAD 8,954.01",, , ," Sale CAD 4,924.71", ,-17, ,, 
 Extended Sizes," Arabella 14k White Gold Ring, Swarovski Zirconia Round Pave Engagement Ring (3-1/2 ct. t.w.)", Deal of the Day," Orig. CAD 1,308.66",," Was CAD 1,169.53", , Sale CAD 349.88, BONUS VALUE CAD 344.39,-21, , , 
 , Horseshoe Bangle Bracelet with Black Spinel Accents in 14k Gold over Sterling Silver, Deal of the Day, Reg. CAD 964.28,, Was CAD 433.93, , Sale CAD 274.13, BONUS VALUE CAD 344.39,-23, , ,
 , Diamond Accent Double Heart Pendant Necklace in Sterling Silver and 10k Gold, Limited-Time Special, Reg. CAD 275.51,-275.51, , , Sale CAD 53.72, BONUS VALUE CAD 344.39,-22, select colors, ,
 , Diamond Tennis Bracelet (1 ct. t.w.) in 14k White Gold, Deal of the Day," Orig. CAD 3,581.60",," Was CAD 3,304.72", , Sale CAD 990.44, BONUS VALUE CAD 344.39,-5, , , 
 , Diamond Square Cluster Ring (1 ct. t.w.) in 14k White Gold, BONUS VALUE CAD 344.39," Reg. CAD 2,755.08",, , ," Sale CAD 1,515.29", , , , , 
 , Le Vian Multistone and Diamond Ring in 14k Rose Gold (3/8 ct. t.w.), Deal of the Day," Orig. CAD 3,581.60",," Was CAD 3,442.47", ," Sale CAD 1,031.76", BONUS VALUE CAD 344.39,-44, , ,
 , Diamond Pendant in 14k White Gold (1/2 ct. t.w.), Deal of the Day," Orig. CAD 2,479.57",," Was CAD 2,336.17", , Sale CAD 699.78, BONUS VALUE CAD 344.39,-10, , , 
 , Michael Kors Pavé Heart Bangle Bracelet and Matching Stud Earrings, , Reg. CAD 158.42,, , , Sale CAD 79.21, ,-2, , , 
 , Diamond Square Cluster Engagement Ring (4 ct. t.w.) in 14k White Gold, Deal of the Day," Orig. CAD 24,790.07",," Was CAD 21,897.24", ," Sale CAD 6,568.10", BONUS VALUE CAD 344.39, , , , 
 , Sapphire (2-3/4 ct. t.w.) and Diamond (1/3 ct. t.w.) Ring in 14k White Gold, Limited-Time Special," Reg. CAD 3,168.34",, , ," Sale CAD 1,100.65", FREE GIFT WITH PURCHASE,-7, , , 
 , Black Diamond Stud Earrings (3 ct. t.w.) in 14k Gold, Deal of the Day," Orig. CAD 2,611.68",," Was CAD 2,198.42", , Sale CAD 658.45, BONUS VALUE CAD 344.39, , , , 
 Certified Diamond, Certified Five Diamond Station Band Ring in 14k White Gold (2 ct. t.w.), BONUS VALUE CAD 344.39," Will Be CAD 15,152.94",, , ," Sale CAD 7,955.29", ,-3, , , 
 , Le Vian Chocolate Diamond Pave Band (1/4 ct. t.w.) in 14k White or Rose Gold, Deal of the Day," Orig. CAD 1,516.53","-1,873.45","Was CAD 1,376.16","-1,679.22", Sale CAD 502.79, BONUS VALUE CAD 344.39,-3, , , 
 , Diamond Pave Hinged Bangle Bracelet (1 ct. t.w.) in Sterling Silver or 18k Yellow or Rose Gold over Sterling Silver, BONUS VALUE CAD 344.39, Reg. CAD 551.02,, , , Sale CAD 220.41, ,-32, , , 
 Certified Diamond, Certified Diamond Square Link Tennis Bracelet (5 ct. t.w.) in 14k White Gold, BONUS VALUE CAD 344.39," Reg. CAD 19,974.33",, , ," Sale CAD 10,985.88", , , , , 
 , TruMiracle® Diamond Heart Pendant in 10k White Gold (1/2 ct. t.w.), BONUS VALUE CAD 344.39," Reg. CAD 1,377.54",, , , Sale CAD 757.65, ,-13, , , 
 , Diamond Heart Pendant Necklace (1/2 ct. t.w.) in 14k Gold over Sterling Silver, Limited-Time Special, Reg. CAD 826.52,, , , Sale CAD 274.13, BONUS VALUE CAD 344.39,-8, , , 
 ," 14k White Gold Earrings, Black Diamond Stud Earrings (2 ct. t.w.)", Limited-Time Special," Reg. CAD 1,239.79",, Was CAD 867.85, , Sale CAD 411.88, BONUS VALUE CAD 344.39,-35, , ,
 Extended Sizes," EFFY Diamond Overlap Ring (3/4 ct. t.w.) in 14k White Gold, Yellow Gold or Tri Color Gold", BONUS VALUE CAD 344.39," Reg. CAD 3,925.99",, , ," Sale CAD 2,159.29", ,-18, ,, 
 , Diamond Cluster Band (1 ct. t.w.) in Sterling Silver, Deal of the Day," Orig. CAD 2,336.17",," Was CAD 1,991.79", , Sale CAD 596.46, BONUS VALUE CAD 344.39, , , , 
 ," Wide Mesh Link and Chain Bracelet in 14k Gold, Made in Italy", Limited-Time Special," Reg. CAD 4,132.62",, , ," Sale CAD 1,376.16", FREE GIFT WITH PURCHASE, , , , 
 ," Polished Wide Hoop Earrings in 14k Gold, White Gold or Rose Gold", Limited-Time Special, Reg. CAD 551.02,, , , Sale CAD 136.38, FREE GIFT WITH PURCHASE, , , , 
